Reference	ID	Tags	Quote	Occurrence	Question	Response
3:1-16	yzj7	summary				The story of the flood shows that God must punish people who sin against him. But he also wants to save people who honor him. Noah lived in a time when almost everyone was wicked. In spite of that, Noah honored God, and taught his family to honor him as well. Therefore, God made a way for Noah and his family to escape God’s punishment. Noah obeyed God. He built the boat and took his family into it. God then closed the door and protected them from the flood. After the flood, God told them to fill the earth again. Noah continued to honor God, and God promised never to destroy the earth with a flood again.
4:1	i5fp	meaning			Why was is wrong for the people to gather together in one city?	God had commanded Noah and his descendants to fill the earth again after the flood (See: [3:13](03/13)).
4:2	lint	application			Why did the people want to live in one city?	The descendants of Noah became proud and wanted other people to honor and remember them. Therefore, they decided they did not want to obey God. Instead, they settled in one place where they could honor each other (See: [4:1](04/01), [4:2](04/02)).
4:2	kip7	meaning			What was the purpose of the tower the people built in the city?	They built the tower to be tall enough to reach heaven (See: [4:2](04/02)). Some scholars think they wanted to be able to go up to heaven. Other scholars think they wanted the gods to be able to come down from heaven.
4:2-3	g19c	meaning			Why did God change their language?	God changed their one language into many languages so they could not understand each other (See: [4:3](04/03)). As a result, they could not work together to continue building the tower or living together well. So they spread out over the earth in different language groups.
4:3	o7p6	application			Why do people today speak different languages?	People today speak different languages because God gave them different languages at Babel (See: [4:3](04/03)). He wanted each language group to spread out across the earth and learn to honor him.
4:4	fs7z	application			Why did God send Abram to Canaan?	Abram already honored God where he lived. But, God told him to go to Canaan, the land that God would give to him. God wanted Abram’s descendants to have a land where they could honor God. In this way, all the families of the earth could learn through them how to honor God.
4:4	ftnh	meaning			Who did God say he would bless through Abram?	God would bless all the people groups on earth through Abram and his descendants (See: [4:4](04/04)).
4:5-6	vu4i	meaning			What land did God give to Abram?	God gave the land of Canaan to Abram and his descendants (See: [4:5](04/05), [4:6](04/06)). He said they would always possess it. This is the land of Israel today.
4:7	xhdo	application			Why did Abram give his tenth to Melchizedek instead of directly to God?	Melchizedek was the first priest of God. Before that, Noah and other righteous people offered their sacrifices directly to God. But now God was providing a priest to help people honor God and to speak to them for him.
4:7	nvwe	meaning			Why did Abram give a tenth of his possessions to Melchizedek?	Melchizedek was a priest of God (See: [4:7](04/07)). That is, he spoke for God and helped people worship God. Abram gave a tenth of his possessions to Melchizedek as an offering to God. In this way, Abram honored God.
4:8-9	ortw	application			Why was God’s promise to Abram so surprising?	God promised that Abram would have more descendants then the stars in the sky. No one is able to count all the stars! But Abram and Sarai did not yet have a son. It would not have seemed possible that they could have so many descendants.
4:8	eve3	meaning			Why might it have been difficult for Abram to believe that he would have many descendants?	Abram and Sarai did not yet have a son (See: [4:8](04/08)). Without a son, he could not have many descendants.
4:8	x4o1	meaning			Why did God declare that Abram was righteous?	God said Abram was righteous because Abram believed God (See: [4:8](04/08)). Abram believed he would have many descendants even though he did not yet have a son.
4:8	cosv	application			Noah was a righteous man. Why did his descendants begin to sin?	God destroyed all the wicked people in the flood (See: [3:8](03/08)). So only the family of Noah survived to fill the earth. Although Noah obeyed God, he was not perfect. He received wicked desires from his ancestors, Adam and Eve. And he passed these on to his descendants.
4:1-9	f7fy	summary				Many descendants were soon born to Noah. But, even though Noah was a righteous man, his descendants did not obey God. They refused to fill the earth. Instead, they built a city and a tower to honor themselves. Therefore, God confused their language so they would separate into groups. Later, God chose Abram and promised to bless every language group through his descendants. Abram believed God would do this, even though he did not have a son. Therefore, God was pleased with Abram and declared him righteous.
5:1	l0va	meaning			Why did Sarai tell Abram to have a child with Hagar?	Sarai was now too old to have children (See: [5:1](05/01)). The custom of that time allowed a woman to have a child through their servant.
5:1	s99f	application			Should Sarai have told Abram to have a son with her servant Hagar?	The custom of the day allowed Sarai to have a son through her servant. But perhaps Sarai did this because she did not believe God could give Abram a son in their old age.
5:2	dobp	meaning			What was the name of the son born to Abram through Hagar?	Abram named the son that Hagar bore him Ishmael (See: [5:2](05/02)).
5:3	j0ai	meaning			What did God tell Abram to do to show his covenant with God?	As a sign of the covenant God made with Abram, God told Abram to circumcise every male in his family (See: [5:3](05/03)).
5:4	ki19	meaning			Who would be the **son of promise**?	Sarai would bear a son for Abram. His name would be Isaac. He would be the **son of promise** (See: [5:4](05/04)).
5:4	g455	meaning			What were the meanings of the new names that God gave to Abram and Sarai?	Abraham means ‘father of many’ and Sarah means ‘princess’ (See: [5:4](05/04)).
5:4	jq91	application			Why was Isaac called the **son of promise**?	Isaac was the **son of promise** because God would fulfil his promise to bless all nations through him. Even though Ishmael was also Abram’s son, God had chosen to bless Abraham’s descendants through Isaac instead of through Ishmael (See: [5:4](05/04)).
5:4	cb8j	application			Why did God give new names to Abram and Sarai?	In the Old Testament, people were often named according what kind of people they were, or what they would do. God gave Abram and Sarai new names to show that they would have many descendants and would be honored by them.
5:5	mmrk	meaning			How old were Abraham and Sarah when Isaac was born?	Abraham was 100 years old and Sarah was 90 years old (See: [5:5](05/05)).
5:6	p0mv	meaning			What did God tell Abraham to do to his son Isaac?	God told Abraham to kill Isaac as a sacrifice to God (See: [5:6](05/06)).
5:6	yb6c	application			Why did God test Abraham by asking him to kill Isaac?	God tested Abraham to show that Abraham would obey God no matter what God asked him to do. He would even sacrifice Isaac, his son of promise.
5:7	ih6y	meaning			Where did Abraham tell Isaac that they would get the lamb for the sacrifice?	Abraham told Isaac that God would provide the lamb for the sacrifice (See: [5:7](05/07)).
5:8	old0	meaning			Did God want Abraham to actually kill Isaac as a sacrifice?	No, God told Abraham not to kill Isaac. God was only testing Abraham to see if he would obey God. God provided a ram for the sacrifice instead of Isaac (See: [5:8](05/08), [5:9](05/09)).
5:8	mw8k	application			Was Abraham willing to kill Isaac as God asked?	Yes, Abraham was willing to obey everything God told him to do. He was ready to kill Isaac when God told him to stop (See: [5:8](05/08)).
5:8	qypm	application			Why did God say that Isaac was Abraham’s only son?	Ishmael was also the son of Abraham. But Isaac was the son of promise that God had chosen to bless. Isaac was the only son through whom God would keep his covenant.
5:9	levl	application			Why did God provide a ram for the sacrifice?	Abraham told Isaac that God would provide a lamb for the sacrifice. But at that time, God provided a ram instead (See: [5:9](05/09)). Abraham was speaking about a sacrifice in the future when God would provide a perfect lamb.
5:10	dyl8	meaning			Why did God say that he would bless Abraham?	God said he would bless Abraham because Abraham was willing to give God everything, even his only son ([5:10](05/10)).
5:1-10	nkvv	summary				When Abram and Sarai were old, they still did not have a son as God had promised. Therefore, Sarai told Abram to have a son through her servant. Hagar bore Ishmael to Abram, but God had not chosen to keep his covenant with Abram through Ishmael. Instead, God allowed Sarai to give birth to Isaac in their old age. He was the son of promise. God tested Abraham to see if he would obey God and kill Isaac. When Abraham showed he was ready to do that, God stopped him and provided a ram for the sacrifice. God promised to bless the world through Abraham’s family because Abraham obeyed him.
6:1	b226	meaning			What did Abraham send his servant to do?	Abraham sent him to get a wife for his son Isaac from among Abraham’s relatives (See: [6:1](06/01)).
6:1	deym	application			Why did Abraham send his servant so far away to find a wife for Isaac?	Abraham wanted Isaac to marry a woman who obeyed God. He did not want him to marry a woman from the tribes in Canaan who worshiped idols.
6:2	nldd	meaning			How did Abraham’s servant choose Rebekah as a wife for Isaac?	God led him to Rebekah (See: [6:2](06/02)).
6:3	pc6a	application			Why did Rebekah agree to leave her family and marry Isaac, whom she did not know?	Perhaps Rebekah believed that God had led Abraham’s servant to her. She trusted God to provide the right husband for her.
6:4	ibm1	meaning			Why did it seem as if Abraham would not have many descendants?	Isaac’s wife, Rebekah, could not have children (See: [6:4](06/04)).
6:4	rowz	application			Why could Rebekah not have children?	We do not know why Rebekah could not have children. She had obeyed God to leave her family and marry Isaac. Perhaps God wanted Isaac to pray for Rebekah, so that they would understand that God enabled her to become pregnant.
6:5	i9rk	meaning			What did Isaac do when Rebekah could not have children?	Isaac prayed to God, and God allowed her to get pregnant (See: [6:5](06/05)).
6:6	fqw5	meaning			What did God tell Rebekah would happen to her two sons?	God told her that her sons would become two nations who would struggle with each other. The nation from the older son would obey the nation from the younger son (See: [6:6](06/06)).
6:6	oc4h	application			Why were the babies struggling with each other while they were still in Rebekah’s womb?	While the babies were in Rebekah’s womb, God had already caused them to be the kind of people that he wanted them to be. They would continue to struggle with each other throughout their lives. Also, God had already decided that they would be large nations, and that the nation from the older brother would obey the nation from the younger brother. God decided this before they were born.
6:7	gxbk	meaning			Who was Rebekah’s older son?	Rebekah’s older son was Esau.
6:7	ipc7	meaning			Who was Rebekah’s younger son?	Rebekah’s younger son was Jacob.
6:7	j1cw	application			Why was Jacob holding on to Esau’s heel?	Later on, Jacob would take Esau’s place by receiving the honor and possessions that should belong to the firstborn son. Perhaps Jacob was holding on to Esau’s heel as a sign that he was already trying to hold Esau back and to take his place.
6:1-7	y8i0	summary				Abraham wanted to make sure that his son Isaac married a woman who believed in God, and not a woman who served idols. Therefore, he sent his servant far away to the land of his relatives to find the right wife for Isaac. God directed Abraham’s servant to Rebekah, who trusted God. After Isaac married Rebekah, they could not have children. But God answered Isaac’s prayer and she became pregnant with twin boys. Even while they were in her womb, God told Rebekah that they would become two nations, and that the nation from the older son would obey the nation from the younger son. In this way, God chose to keep his covenant with Abraham through Isaac’s younger son, Jacob.
7:1	jg53	meaning			How did Isaac and Rebekah treat their sons differently?	Isaac loved Esau more than he loved Jacob. Rebekah loved Jacob more than she loved Esau (See: [7:1](07/01)).
7:1	l28a	application			Why did Rebekah love Jacob more than she loved Esau?	Jacob stayed around the home where Rebekah lived. Furthermore, God had told Rebekah that her older son would serve the younger.
7:1	yz87	application			Why did Isaac love Esau more than he loved Jacob?	Esau loved to hunt. Perhaps Isaac also loved to hunt, and to eat the wild animals that they killed. This may be the reason he loved Esau more than he loved Jacob.
7:2	cgu7	meaning			What did Esau give to Jacob in exchange for some food?	Esau was the firstborn. As the firstborn, he deserved to receive more of his father’s possessions then Jacob, and to be honored more than Jacob. However, Esau traded all those things to Jacob in exchange for some food (See: [7:2](07/02)).
7:2	jhud	application			Why was Esau willing to trade what was his as the firstborn for some food?	Esau did not care about the promises God made to Abraham. He was only interested in his food for that day. Later, he wanted to receive his father’s inheritance. But he was not interested in receiving anything from God.
7:2-5	cygs	application			What problems happened because Isaac and Rebekah each loved a different son?	Jacob and Esau would have known that their parents did not love them equally. Perhaps this is why Jacob and Esau continually struggled with each other. They both tried to get what the other brother had.
7:3-4	t2kl	meaning			Why did Rebekah and Jacob deceive Isaac by having Jacob pretend to be Esau?	Rebekah and Jacob wanted Isaac to bless Jacob instead of blessing Esau (See: [7:3](07/03), [7:4](07/04)).
7:3-4	vzih	application			Jacob deceived Isaac to get his blessing. What does this tell us about Jacob?	It was good that Jacob wanted to have his father’s blessing. But he was wrong to deceive his father in order to receive it. Because he did that, he had to flee from his brother and spend twenty years in another country.
7:3-4	omkn	application			Was Jacob a good person?	Jacob sometimes obeyed God, and he wanted God’s blessing. At the same time, Jacob had many faults. He often tried to trick people to get what he wanted. Nevertheless, God blessed Jacob because he had promised to Abraham that he would bless his descendants.
7:4	gfpx	meaning			Why did Jacob put goatskins on his neck and hands?	Jacob wanted his hands and neck to be hairy like his brother Esau’s hands and neck. In that way, Isaac would feel the goat hair and think he was Esau (See: [7:3](07/03), [7:4](07/04)).
7:5	ajem	meaning			What did Esau plan to do to Jacob after Jacob stole his blessing?	Esau planned to wait until Isaac died, and then to kill Jacob (See: [7:5](07/05)).
7:6	krju	meaning			What did Rebekah do to prevent Esau from killing Jacob?	Rebekah and Isaac sent Jacob far away to her relatives so Esau would not kill him (See: [7:6](07/06)).
7:7-8	dfjw	meaning			How long did Jacob stay away from home?	Jacob stayed with Rebekah’s relatives for twenty years. Then he returned home with the family God had given him while he was away (See: [7:8](07/08)).
7:9	vw4n	meaning			How did Jacob try to convince Esau not to kill him?	He sent many herds of animals to Esau as a gift so that Esau would not still want to kill him (See: [7:9](07/09)).
7:10	rl2e	meaning			Did Esau still want to kill Jacob?	Esau was no longer angry with Jacob, and did not want to kill him. Esau and Jacob both lived in Canaan, and even buried their father together (See: [7:10](07/10)).
7:1-10	vy9m	summary				God chose to bless Jacob even before he was born, and he was faithful to do that. However, Jacob did not always act in a way that was right. He often deceived other people in order to get what he wanted. Nevertheless, God knew that Jacob wanted to worship God. Also, God promised Abraham that he would bless his descendants. Therefore, God blessed Jacob even when he fled from his brother. He brought Jacob back to Canaan again, and blessed his family. Jacob was not always right, but he believed God.
8:1-2	zs7u	meaning			How did Jacob feel about his son Joseph?	Jacob loved Joseph more than he loved his other 11 sons (See: [8:1](08/01)).
8:2	frn0	meaning			Why did Joseph’s brothers hate him?	They hated Joseph because Jacob loved Joseph more than he loved his other sons, and because Joseph dreamed he would rule over his brothers (See: [8:2](08/02)).
8:2	rdis	meaning			What did Joseph’s brothers do to get rid of Joseph?	Joseph’s brothers sold him as a slave (See: [8:2](08/02)). Then they deceived their father into thinking that an animal had killed Joseph (See: [8:3](08/03)).
8:2	kjf0	application			What mistake did Jacob make in the way he treated his sons?	Jacob loved one of his sons more than he loved his other sons. This was the same mistake that his father Isaac made. As a result, Jacob’s sons hated Joseph and sold him as a slave.
8:4-5	tqpv	application			Why was God with Joseph even as a slave and as a prisoner?	Joseph was always faithful to God, even when he suffered for doing the right thing. Therefore, God blessed Joseph and eventually restored him to his family.
8:5	mv1j	meaning			Why did the Egyptians put Joseph in prison?	The wife of Joseph’s Egyptian master lied and said Joseph tried to sleep with her. Her husband believed her and sent Joseph to prison (See: [8:5](08/05)).
8:5	lv8l	meaning			What did God do for Joseph while he was in prison?	Joseph remained faithful to God, so God blessed him even in the prison (See: [8:5](08/05)).
8:6-8	ea6p	meaning			How did Joseph get out of prison?	Pharaoh had a dream that no one could interpret (See: [8:6](08/06)). When Joseph told him the meaning of the dream, Pharaoh made Joseph the second most powerful person in Egypt (See: [8:7](08/07), [8:8](08/08)).
8:6-8	qlcm	application			How did God make it possible for Joseph to go from prison to the palace in Egypt?	God caused Pharaoh to have a dream that no one could interpret. He then revealed the meaning of the dream to Joseph. In that way, God provided a way for Joseph to be released from prison and to begin to rule over Egypt.
8:10-11	dyo2	meaning			Why did Joseph’s brothers come to Egypt?	There was a great famine and there was no food for them in Canaan (See: [8:10](08/10)). They came to Egypt to buy food (See: [8:11](08/11)).
8:12	ej2v	meaning			How did Joseph treat his brothers when they came to him in Egypt?	Joseph first tested them to see if they had changed. Then he told them who he was and promised to take care of them all in Egypt (See: [8:12](08/12)).
8:12	xjl5	application			Why did Joseph not punish his brothers?	Joseph’s brothers sold him as a slave. He could have been very angry with them. But Joseph saw that God was the one who sent Joseph to Egypt through his brothers’ evil actions. God did this to save Joseph’s entire family. Therefore, Joseph forgave his brothers and took care of them.
8:13-14	mvof	application			Why did Jacob move his family to Egypt?	God caused the famine so that Jacob would have to move his family to Egypt. God wanted them to grow into a large nation there.
8:15	iq3j	meaning			Who became the 12 tribes of Israel?	God changed Jacob’s name to Israel. The descendants of each of his 12 sons then became the tribes of Israel (See: [8:15](08/15)).
8:1-15	mrer	summary				God sometimes allows bad things to happen and people to do evil things. But God is always in control. He is doing the things that will fulfil his plan. He allowed Joseph’s brothers to sell him as a slave so that Joseph would be in Egypt. He even allowed Joseph to be in prison. But he blessed Joseph even there. Next, God cause Pharaoh to have a dream for Joseph to interpret. This made Joseph the second most powerful man in Egypt. Finally, God sent a famine throughout the land so that Jacob and his family would have to come to Egypt for food. But God had already placed Joseph in Egypt to care for them during the famine. God was always working in Joseph’s live, and Joseph was always faithful to him.
9:1	in4g	application			God led the Israelites to Egypt. Why did they suffer there?	God sent the Israelites to Egypt to protect them during the famine (See: [8:12](08/12)). However, the Egyptians later began to treat them badly and made them slaves. They suffered even though they had obeyed God. But God blessed them even while they suffered in Egypt.
9:2	dovp	meaning			Why did the Egyptians make the Israelites slaves?	They were afraid of the Israelites because there were so many of them (See: [9:2](09/02)).
9:3	lrud	meaning			What did God do for the Israelites while they were slaves in Egypt?	God blessed them so they had even more children (See: [9:3](09/03)).
9:4	cf9k	meaning			How did Pharaoh try to stop the Israelites from having larger families?	Pharaoh ordered his people to kill all the Israelite baby boys (See: [9:4](09/04)).
9:5-6	fr1h	application			Why did Moses’ mother defy Pharaoh’s order to kill all the Israelite baby boys?	She knew that it was wrong to kill her son. Therefore, she did not obey Pharaoh. She hid Moses as long as she could, and then placed him a basket in the river so that someone might rescue him. By doing so, She made it possible for Moses to later rescue Israel from Egypt.
9:6	exo3	meaning			Why did the Israelite woman put her baby boy in a basket in the river?	She did not want him to be killed. Perhaps she hoped someone would find him floating in the basket and rescue him (See: [9:6](09/06)).
9:7	uw1z	meaning			Who did Pharaoh’s daughter hire to nurse the baby boy?	Pharaoh’s daughter hired the baby’s own mother to nurse him, although she did not know that she was his mother (See: [9:7](09/07)).
9:7	ssii	application			How was Moses’ mother able to care for Moses?	God caused Pharaoh’s daughter to find Moses and want to keep him as her son. Then God caused her to hire Moses’ own mother to nurse him. In this way, God blessed Moses’ mother for refusing to obey Pharaoh and for doing what was right.
9:8-9	p276	meaning			Why did Moses kill the Egyptian?	He was trying to save the Israelite whom the Egyptian was beating (See: [9:8](09/08), [9:9](09/09)).
9:8-10	ofkw	application			What happened to Moses when he tried to rescue his fellow Israelite?	Moses killed the Egyptian in order to save an Israelite. But then he had to flee from Egypt so Pharaoh would not kill him. It was not yet time for Moses to help the Israelites. And God did not want Moses to save them by his own power. Instead, God sent Moses into the wilderness until God was ready to send him to deliver the Israelites.
9:12	nibv	meaning			How did God appear to Moses?	God appeared to Moses in a bush that was on fire, but which did not burn up (See: [9:12](09/12)).
9:13	rxrg	meaning			Why did God send Moses to the Israelites?	God told Moses to bring the Israelites out of slavery in Egypt and to lead them to the land of Canaan (See: [9:13](09/13)).
